"","County","TotPrecincts","PrecinctsReporting","Bush","Kerry","Nader","votes","p"
"80","Cleburne",31,31,6938,4419,78,11435,0.00393634701403251
"81","Cleveland",20,20,2008,1450,22,3480,0.00119794382237281
"82","Columbia",19,19,5706,4102,39,9847,0.00338969908589227
"83","Conway",29,29,3998,3972,56,8026,0.00276284399952994
"84","Craighead",25,25,15810,13647,179,29636,0.0102017997470807
"85","Crawford",45,45,13353,6747,143,20243,0.00696838413686577
"86","Crittenden",42,42,6930,8278,53,15261,0.00525339674518147
"87","Cross",18,18,3864,3135,31,7030,0.00241998421588531
"88","Dallas",19,19,1699,1670,1,3370,0.00116007778201046
"89","Desha",23,23,1783,2818,28,4629,0.00159347182579418
"90","Drew",19,19,3279,2965,23,6267,0.00215733159046277
"91","Faulkner",47,47,21514,14538,231,36283,0.0124899412951589
"92","Franklin",30,30,4179,3005,62,7246,0.00249433934968776
"93","Fulton",18,18,2187,2083,37,4307,0.00148262759855164
"94","Garland",68,68,21699,18014,195,39908,0.0137377994434639
"95","Grant",20,20,4205,2524,25,6754,0.00232497487824885
"96","Greene",21,21,7232,6561,88,13881,0.00477835005699915
"97","Hempstead",29,29,3580,3817,28,7425,0.00255595772445924
"98","Hot Spring",29,29,5960,5901,136,11997,0.00412980805661111
"99","Howard",21,21,2728,2163,22,4913,0.00169123505727518
"100","Independence",30,30,7408,5428,72,12908,0.00444340771815755
"101","Izard",42,42,2833,2586,35,5454,0.00187746712851188
"102","Jackson",47,47,2617,3513,49,6179,0.00212703875817288
"103","Jefferson",208,208,10165,19536,327,30028,0.0103367405454629
"104","Johnson",21,21,4300,3621,18,7939,0.00273289540397062
"105","Lafayette",22,22,1595,1562,15,3172,0.00109191890935821
"106","Lawrence",23,23,2951,3543,59,6553,0.0022557832954049
"107","Lee",15,15,1491,2543,16,4050,0.00139415875879595
"108","Lincoln",27,27,1972,2190,27,4189,0.00144200766434475
"109","Little River",22,22,2574,2677,29,5280,0.00181756993739324
"110","Logan",31,31,5057,3357,67,8481,0.00291947171193788
"111","Lonoke",35,35,12860,6708,81,19649,0.00676390751890903
"112","Madison",27,27,3871,2420,42,6333,0.00218005121468018
"113","Marion",36,36,4102,2590,91,6783,0.00233495774343529
"114","Miller",28,28,8439,6135,58,14632,0.00503687184165489
"115","Mississippi",25,25,6090,7536,55,13681,0.00470950271088577
"116","Monroe",18,18,1585,2040,15,3640,0.00125302169926352
"117","Montgomery",16,16,2355,1518,37,3910,0.00134596561651658
"118","Nevada",21,21,1748,1688,16,3452,0.00118830519391694
"119","Newton",21,21,2778,1505,51,4334,0.00149192199027695
"120","Ouachita",23,23,5323,5171,48,10542,0.00362894361363627
"121","Perry",19,19,2435,1919,44,4398,0.00151395314103323
"122","Phillips",57,57,3138,5563,29,8730,0.00300518665784904
"123","Pike",15,15,2009,1310,26,3345,0.00115147186374628
"124","Poinsett",42,42,3554,4068,68,7690,0.00264718045805947
"125","Polk",20,20,5181,2468,73,7722,0.00265819603343761
"126","Pope",58,58,13614,7100,90,20804,0.0071615009427138
"127","Prairie",22,22,2029,1554,15,3598,0.00123856375657971
"128","Pulaski",133,133,65052,81291,611,146954,0.0505869645037283
"129","Randolph",26,26,3157,3411,35,6603,0.00227299513193325
"130","Saint Francis",25,25,3603,5486,42,9131,0.00314322558680637
"131","Saline",70,70,24833,14140,231,39204,0.0134954567851448
"132","Scott",28,28,2522,1477,32,4031,0.00138761826091518
"133","Searcy",18,18,2562,1352,15,3929,0.00135250611439735
"134","Sebastian",54,54,27251,16426,215,43892,0.0151092385780424
"135","Sevier",17,17,2513,2034,31,4578,0.00157591575253527
"136","Sharp",26,26,4090,3262,64,7416,0.00255285959388414
"137","Stone",31,31,3188,2255,60,5503,0.00189433472830965
"138","Union",32,32,10468,7056,62,17586,0.00605374714374951
"139","Van Buren",23,23,3719,3310,34,7063,0.00243134402799402
"140","Washington",116,116,35652,27530,387,63569,0.0218827847254073
"141","White",91,91,17001,9129,171,26301,0.00905377025064005
"142","Woodruff",13,13,1016,1969,16,3001,0.00103305442843127
"143","Yell",31,31,3660,2902,40,6602,0.00227265089520268
"144","Apache",45,45,8068,15082,0,23150,0.00796908031262375
"145","Cochise",64,64,24828,16219,0,41047,0.0141298850795796
"146","Coconino",83,83,20619,26513,0,47132,0.0162245655850792
"147","Gila",40,40,10494,7107,0,17601,0.00605891069470802
"148","Graham",18,18,7302,3141,0,10443,0.00359486417731014
"149","Greenlee",8,8,1899,1146,0,3045,0.00104820084457621
"150","La Paz",12,12,3158,1849,0,5007,0.00172359330994847
"151","Maricopa",1058,1058,539776,403882,0,943658,0.3248417446933
"152","Mohave",73,73,29608,16267,0,45875,0.0157918600147566
"153","Navajo",70,70,16474,14224,0,30698,0.0105673791549427
"154","Pima",401,401,138431,154291,0,292722,0.100765664245004
"155","Pinal",67,67,34813,25652,0,60465,0.0208142739137277
"156","Santa Cruz",24,24,4668,6909,0,11577,0.00398522862977301
"157","Yavapai",103,103,49675,30377,0,80052,0.0275568387553415
"158","Yuma",42,42,18398,12668,0,31066,0.0106940582717913
"159","Alameda",1141,1141,107489,326675,0,434164,0.149455195889848
"160","Alpine",5,5,311,373,0,684,0.00023545792370776
"161","Amador",57,57,10479,6211,0,16690,0.00574531103316157
"162","Butte",183,183,42645,35073,0,77718,0.0267533902261984
"163","Calaveras",30,30,12469,7750,0,20219,0.00696012245533216
"164","Colusa",17,17,3938,1858,0,5796,0.00199519609036576
"165","Contra Costa",921,921,130527,221449,0,351976,0.121163067478015
"166","Del Norte",19,19,5125,3736,0,8861,0.00305028166955331
"167","El Dorado",150,150,34514,21478,0,55992,0.0192745030179019
"168","Fresno",667,667,120272,85943,0,206215,0.0709867773938534
"169","Glenn",23,23,6299,2985,0,9284,0.00319589380658311
"170","Humboldt",139,139,23014,34270,0,57284,0.0197192568737943
"171","Imperial",152,152,11628,13955,0,25583,0.00880660827809302
"172","Inyo",31,31,4559,3021,0,7580,0.00260931441769711
"173","Kern",658,658,118571,57129,0,175700,0.0604823935606044
"174","Kings",140,140,16846,8788,0,25634,0.00882416435135193
"175","Lake",52,52,8185,9679,0,17864,0.00614944495484711
"176","Lassen",37,37,7373,2867,0,10240,0.00352498412100506
"177","Los Angeles",4602,4602,954764,1670341,0,2625105,0.903657562594824
"178","Madera",100,100,21881,11841,0,33722,0.011608351028177
"179","Marin",209,209,26141,73946,0,100087,0.0344536216522494
"180","Mariposa",21,21,4750,2961,0,7711,0.00265440942940137
"181","Mendocino",98,98,11963,22276,0,34239,0.0117863214178801
"182","Merced",106,106,29968,22403,0,52371,0.0180280218165192
"183","Modoc",20,20,2987,1049,0,4036,0.00138933944456801
"184","Mono",13,13,2200,2200,0,4400,0.00151464161449436
"185","Monterey",304,304,31382,48415,0,79797,0.027469058389047
"186","Napa",114,114,18886,28860,0,47746,0.0164359269376472
"187","Nevada",138,138,25078,20716,0,45794,0.0157639768395807
"188","Orange",2146,2146,455500,300490,0,755990,0.260239525941271
"189","Placer",391,391,84551,49519,0,134070,0.0461518184671044
"190","Plumas",29,29,6681,3923,0,10604,0.00365028629093141
"191","Riverside",1103,1103,263147,187823,0,450970,0.155240438383755
"192","Sacramento",926,926,171569,175725,0,347294,0.119551351105501
"193","San Benito",58,58,6158,7253,0,13411,0.0046165587936327
"194","San Bernardino",881,881,226133,175533,0,401666,0.138268190619885
"195","San Diego",2235,2235,439242,394752,0,833994,0.287091367872412
"196","San Francisco",578,578,41157,222013,0,263170,0.0905927803832912
"197","San Joaquin",527,527,87336,74868,0,162204,0.0558365746448736
"198","San Luis Obispo",160,160,53683,47079,0,100762,0.034685981445382
"199","San Mateo",522,522,66152,156570,0,222722,0.0766690931053212
"200","Santa Barbara",355,355,48451,60565,0,109016,0.0375273114194812
"201","Santa Clara",1088,1088,151660,280016,0,431676,0.148598734904197
"202","Santa Cruz",279,279,25297,74302,0,99599,0.0342856341277327
"203","Shasta",133,133,45392,20980,0,66372,0.0228476802811863
"204","Sierra",22,22,1429,646,0,2075,0.000714291215926319
"205","Siskiyou",86,86,10399,6545,0,16944,0.00583274716272556
"206","Solano",295,295,49710,69729,0,119439,0.04111529086218
"207","Sonoma",494,494,55541,119821,0,175362,0.0603660415456728
"208","Stanislaus",333,333,70981,49640,0,120621,0.0415221786777101
"209","Sutter",101,101,17329,8254,0,25583,0.00880660827809302
"210","Tehama",47,47,13384,6505,0,19889,0.00684652433424509
"211","Trinity",24,24,3406,2682,0,6088,0.00209571321569129
"212","Tulare",286,286,56556,27989,0,84545,0.0291034943857786
"213","Tuolumne",75,75,14001,8971,0,22972,0.00790780617458284
"214","Ventura",541,541,109007,103360,0,212367,0.073104521760301
"215","Yolo",132,132,24594,38190,0,62784,0.0216125588919123
"216","Yuba",45,45,10805,5064,0,15869,0.00546269267736615
"217","Adams",201,201,62485,65081,767,128333,0.0441769323438421
"218","Alamosa",9,9,3137,2975,39,6151,0.00211740012971701
"219","Arapahoe",363,363,114703,105008,1108,220819,0.0760140106070524
"220","Archuleta",10,10,2555,2111,40,4706,0.00161997805404783
"221","Baca",7,7,1673,482,11,2166,0.000745616758407907
"222","Bent",6,6,1310,757,21,2088,0.000718766293423689
"223","Boulder",227,200,43248,92870,810,136928,0.0471356470430646
"224","Broomfield",41,41,11847,10760,134,22741,0.00782828748982189
"225","Chaffee",15,15,4634,3595,73,8302,0.00285785333716641
"226","Cheyenne",7,7,902,193,7,1102,0.000379348877084725
"227","Clear Creek",11,11,2467,2899,45,5411,0.0018626649490975
"228","Conejos",10,10,1855,1889,19,3763,0.00129536281712325
"229","Costilla",9,9,547,1149,15,1711,0.000588989045999967
"230","Crowley",7,7,977,469,1,1447,0.000498110549130305
"231","Custer",4,4,1644,733,13,2390,0.000822725786054893
"232","Delta",20,20,9563,4165,104,13832,0.00476148245720137
"233","Denver",423,423,62868,148599,1213,212680,0.0732122678569684
"234","Dolores",4,4,785,333,9,1127,0.000387954795348897
"235","Douglas",142,142,79115,38956,406,118477,0.0407841351273747
"236","Eagle",29,29,8469,9630,117,18216,0.00627061628400666
"237","El Paso",378,378,157594,75558,1273,234425,0.0806976955631457
"238","Elbert",16,16,8292,3103,49,11444,0.00393944514460761
"239","Fremont",32,32,12241,5900,135,18276,0.00629127048784068
"240","Garfield",28,28,10937,9077,142,20156,0.00693843554130645
"241","Gilpin",6,6,1304,1772,22,3098,0.00106644539129626
"242","Grand",12,12,4170,3159,57,7386,0.00254253249196713
"243","Gunnison",15,15,3452,4730,93,8275,0.0028485589454411
"244","Hinsdale",4,4,355,234,4,593,0.000204132381226172
"245","Huerfano",11,11,1661,1628,24,3313,0.00114045628836814
"246","Jackson",6,6,710,209,7,926,0.00031876321250495
"247","Jefferson",325,325,137251,123174,1667,262092,0.0902216931877401
"248","Kiowa",4,4,688,167,3,858,0.000295355114826401
"249","Kit Carson",10,10,2668,723,23,3414,0.0011752241981554
"250","La Plata",30,30,11593,13266,193,25052,0.008623818574162
"251","Lake",8,8,1231,1574,38,2843,0.000978665025001699
"252","Larimer",31,31,74899,67266,978,143143,0.0492750783235379
"253","Las Animas",18,18,3152,3248,42,6442,0.00221757301831197
"254","Lincoln",11,11,1793,493,7,2293,0.000789334823189903
"255","Logan",18,18,6054,2426,56,8536,0.00293840473211906
"256","Mesa",82,82,40457,19072,407,59936,0.0206321726832578
"257","Mineral",1,1,381,227,6,614,0.000211361352568077
"258","Moffat",14,14,4210,1343,64,5617,0.00193357771559428
"259","Montezuma",13,13,6952,3839,87,10878,0.00374460715510675
"260","Montrose",22,22,11045,4708,98,15851,0.00545649641621594
"261","Morgan",18,18,6741,3017,63,9821,0.00338074893089753
"262","Otero",18,18,4832,3092,37,7961,0.0027404686120431
"263","Ouray",7,7,1383,1250,19,2652,0.000912915809463421
"264","Park",13,13,4739,3405,59,8203,0.00282377390084029
"265","Phillips",9,9,1661,565,13,2239,0.000770746039739291
"266","Pitkin",12,12,2750,6275,77,9102,0.00313324272161993
"267","Prowers",13,13,3382,1306,26,4714,0.00162273194789237
"268","Pueblo",133,133,30665,34654,413,65732,0.0226273687736235
"269","Rio Blanco",7,7,2370,560,17,2947,0.00101446564498066
"270","Rio Grande",15,15,3413,1970,46,5429,0.0018688612102477
"271","Routt",22,22,5109,6270,86,11465,0.00394667411594952
"272","Saguache",9,9,1134,1558,18,2710,0.000932881539836301
"273","San Juan",1,1,216,253,10,479,0.000164889393941545
"274","San Miguel",6,6,1070,2857,30,3957,0.00136214474285323
"275","Sedgwick",6,6,947,368,7,1322,0.000455080957809443
"276","Summit",19,19,5320,8032,113,13465,0.00463514757708332
"277","Teller",16,16,7868,3447,87,11402,0.0039249872019238
"278","Washington",6,6,2019,450,12,2481,0.000854051328536481
"279","Weld",101,101,55213,31623,495,87331,0.030062537917138
"280","Yuma",15,15,3423,1044,17,4484,0.00154355749986198
"281","Andover",1,1,793,972,22,1787,0.000615151037523051
"282","Ansonia",7,7,3272,4065,80,7417,0.0025532038306147
"283","Ashford",1,1,933,1307,31,2271,0.000781761615117431
"284","Avon",2,2,5141,4925,77,10143,0.00349159315814007
"285","Barkhamsted",1,1,995,1124,30,2149,0.00073976473398827
"286","Beacon Falls",1,1,1634,1206,35,2875,0.000989680600379839
"287","Berlin",5,5,5018,5559,73,10650,0.00366612118053749
"288","Bethany",1,1,1618,1617,39,3274,0.00112703105587603
"289","Bethel",5,5,4928,4486,79,9493,0.00326783928327159
"290","Bethlehem",1,1,1337,922,31,2290,0.000788302112998203
"291","Bloomfield",6,6,2337,8156,41,10534,0.00362618971979173
"292","Bolton",1,1,1459,1542,30,3031,0.00104338153034828
"293","Bozrah",1,1,646,723,13,1382,0.000475735161643457
"294","Branford",7,7,6285,8335,109,14729,0.00507026280451988
"295","Bridgeport",25,25,10326,26280,140,36746,0.0126493229014113
"296","Bridgewater",1,1,628,521,15,1164,0.000400691554379872
"297","Bristol",10,10,10611,14188,179,24978,0.00859834505610005
"298","Brookfield",2,2,5162,3618,59,8839,0.00304270846148084
"299","Brooklyn",1,1,1628,1668,49,3345,0.00115147186374628
"300","Burlington",1,1,2539,2501,33,5073,0.00174631293416589
"301","Canaan",1,1,219,378,17,614,0.000211361352568077
"302","Canterbury",1,1,1370,1193,47,2610,0.000898457866779611
"303","Canton",1,1,2502,3003,54,5559,0.0019136119852214
"304","Chaplin",1,1,505,590,27,1122,0.000386233611696063
"305","Cheshire",7,7,7583,7283,114,14980,0.00515666622389217
"306","Chester",1,1,796,1375,26,2197,0.000756288097055481
"307","Clinton",1,1,3160,3332,42,6534,0.00224924279752413
"308","Colchester",1,1,3418,4081,67,7566,0.00260449510346917
"309","Colebrook",1,1,429,458,20,907,0.000312222714624179
"310","Columbia",1,1,1272,1771,41,3084,0.00106162607706832
"311","Cornwall",1,1,296,625,13,934,0.000321517106349485
"312","Coventry",2,2,2641,3588,85,6314,0.00217351071679941
"313","Cromwell",1,1,3226,4126,68,7420,0.0025542365408064
"314","Danbury",7,7,11327,12178,151,23656,0.0081432640982906
"315","Darien",6,6,6888,4057,54,10999,0.00378625979950534
"316","Deep River",1,1,1007,1548,30,2585,0.000889851948515438
"317","Derby",2,2,2600,2582,40,5222,0.00179760420702036
"318","Durham",2,2,2024,2017,53,4094,0.00140930517494089
"319","East Granby",2,2,1375,1352,21,2748,0.000945962535597843
"320","East Haddam",1,1,2009,2607,53,4669,0.00160724129501686
"321","East Hampton",1,1,2941,3360,63,6364,0.00219072255332776
"322","East Hartford",7,7,6320,11993,160,18473,0.00635908512376236
"323","East Haven",7,7,5427,6196,94,11717,0.00403342177205237
"324","East Lyme",3,3,4030,5306,84,9420,0.0032427100019402
"325","East Windsor",2,2,2074,2571,44,4689,0.0016141260296282
"326","Eastford",1,1,513,416,11,940,0.000323582526732887
"327","Easton",1,1,2462,2002,24,4488,0.00154493444678425
"328","Ellington",2,2,3700,3467,67,7234,0.00249020850892096
"329","Enfield",9,9,8669,10826,166,19661,0.00676803835967583
"330","Essex",2,2,1852,2201,33,4086,0.00140655128109636
"331","Fairfield",10,10,14694,15047,204,29945,0.0103081688968258
"332","Farmington",4,4,6294,7205,93,13592,0.00467886564186531
"333","Franklin",1,1,540,513,8,1061,0.000365235171131482
"334","Glastonbury",9,9,8094,8986,149,17229,0.00593085463093713
"335","Goshen",1,1,954,715,15,1684,0.000579694654274661
"336","Granby",2,2,3108,3015,61,6184,0.00212875994182571
"337","Greenwich",21,21,14086,12363,147,26596,0.00915532008615729
"338","Griswold",2,2,2143,2599,51,4793,0.00164992664960715
"339","Groton",8,8,6464,8006,139,14609,0.00502895439685185
"340","Guilford",4,4,5554,7294,95,12943,0.0044554560037274
"341","Haddam",2,2,2039,2354,37,4430,0.00152496871641137
"342","Hamden",11,11,9990,17774,199,27963,0.00962589169684224
"343","Hampton",1,1,445,608,13,1066,0.000366956354784316
"344","Hartford",23,23,4623,22595,168,27386,0.00942726710330514
"345","Hartland",1,1,708,435,19,1162,0.000400003080918739
"346","Harwinton",2,2,1762,1308,47,3117,0.00107298588917703
"347","Hebron",1,1,2426,2623,52,5101,0.00175595156262176
"348","Kent",1,1,713,1038,16,1767,0.000608266302911714
"349","Killingly",8,8,2993,3341,92,6426,0.0022120652306229
"350","Killingworth",1,1,1865,1895,35,3795,0.00130637839250139
"351","Lebanon",1,1,1799,1944,42,3785,0.00130293602519572
"352","Ledyard",2,2,3580,3438,77,7095,0.00244235960337216
"353","Lisbon",1,1,915,1086,20,2021,0.000695702432475706
"354","Litchfield",4,4,2375,2164,44,4583,0.00157763693618811
"355","Lyme",1,1,594,850,23,1467,0.000504995283741643
"356","Madison",2,2,5377,4864,76,10317,0.00355149034925871
"357","Manchester",10,10,9948,15268,241,25457,0.00876323445004159
"358","Mansfield",3,3,2171,6169,162,8502,0.00292670068327979
"359","Marlborough",1,1,1710,1850,42,3602,0.00123994070350198
"360","Meriden",17,17,8845,13368,203,22416,0.00771641055238765
"361","Middlebury",1,1,2423,1584,43,4050,0.00139415875879595
"362","Middlefield",1,1,1099,1478,25,2602,0.000895703972935076
"363","Middletown",14,14,5955,11854,0,17809,0.00613051193466593
"364","Milford",10,10,12880,13145,261,26286,0.00904860669968155
"365","Monroe",4,4,6195,4349,62,10606,0.00365097476439255
"366","Montville",6,6,3527,4259,84,7870,0.00270914306956151
"367","Morris",1,1,783,581,18,1382,0.000475735161643457
"368","Naugatuck",10,10,6838,5745,123,12706,0.00437387189858304
"369","New Britain",17,17,6012,12988,145,19145,0.00659041220670331
"370","New Canaan",3,3,6618,4180,56,10854,0.00373634547357314
"371","New Fairfield",2,2,4072,2687,51,6810,0.00234425213516059
"372","New Hartford",2,2,1950,1874,42,3866,0.00133081920037164
"373","New Haven",42,42,7163,30926,341,38430,0.013229017555686
"374","New London",7,7,2381,5984,68,8433,0.00290294834887067
"375","New Milford",7,7,7174,5854,129,13157,0.00452912266406871
"376","Newington",8,8,6252,9365,127,15744,0.00541966308604528
"377","Newtown",4,4,7739,6540,103,14382,0.00495081265901316
"378","Norfolk",1,1,407,555,11,973,0.000334942338841594
"379","North Branford",2,2,3556,3439,60,7055,0.00242859013414948
"380","North Canaan",1,1,708,796,2,1506,0.000518420516233752
"381","North Haven",5,5,6471,6359,96,12926,0.00444960397930776
"382","North Stonington",1,1,1360,1407,32,2799,0.000963518608856755
"383","Norwalk",14,14,14201,20615,246,35062,0.0120696282471367
"384","Norwich",10,10,4841,8223,163,13227,0.0045532192352084
"385","Old Lyme",1,1,1896,2394,53,4343,0.00149502012085205
"386","Old Saybrook",2,2,2828,3119,51,5998,0.00206473190994027
"387","Orange",2,2,4390,3774,60,8224,0.00283100287218219
"388","Oxford",1,1,3628,2286,59,5973,0.0020561259916761
"389","Plainfield",4,4,2844,3103,89,6036,0.00207781290570181
"390","Plainville",4,4,3407,4403,72,7882,0.00271327391032831
"391","Plymouth",2,2,2773,2737,56,5566,0.00191602164233537
"392","Pomfret",1,1,1087,1098,27,2212,0.000761451648013984
"393","Portland",1,1,2105,2930,50,5085,0.00175044377493269
"394","Preston",1,1,1184,1297,37,2518,0.000866788087567456
"395","Prospect",2,2,2983,1804,50,4837,0.0016650730657521
"396","Putnam",2,2,1738,1825,37,3600,0.00123925223004084
"397","Redding",2,2,2589,2797,34,5420,0.0018657630796726
"398","Ridgefield",3,3,6567,5643,77,12287,0.00422963670847551
"399","Rocky Hill",3,3,4130,5485,74,9689,0.0033353096824627
"400","Roxbury",1,1,715,727,14,1456,0.000501208679705407
"401","Salem",1,1,986,1125,28,2139,0.0007363223666826
"402","Salisbury",1,1,730,1600,23,2353,0.000809989027023917
"403","Scotland",1,1,430,430,8,868,0.00029879748213207
"404","Seymour",3,3,4035,3202,99,7336,0.00252532065543878
"405","Sharon",1,1,649,897,15,1561,0.000537353536414932
"406","Shelton",6,6,11137,8247,149,19533,0.00672397605816327
"407","Sherman",1,1,1121,958,21,2100,0.000722897134190491
"408","Simsbury",4,4,6753,6799,111,13663,0.00470330644973556
"409","Somers",1,1,2734,2114,37,4885,0.00168159642881931
"410","South Windsor",7,7,6174,7643,106,13923,0.00479280799968296
"411","Southbury",5,5,6526,4828,97,11451,0.00394185480172158
"412","Southington",12,12,10179,11044,136,21359,0.00735255232817843
"413","Sprague",1,1,631,717,15,1363,0.000469194663762686
"414","Stafford",3,3,2795,3234,65,6094,0.00209777863607469
"415","Stamford",23,23,18856,27575,213,46644,0.0160565780605625
"416","Sterling",1,1,707,643,12,1362,0.000468850427032119
"417","Stonington",5,5,3948,5728,100,9776,0.00336525827802202
"418","Stratford",13,13,11945,12057,194,24196,0.00832915193279673
"419","Suffield",1,1,3525,3224,61,6810,0.00234425213516059
"420","Thomaston",1,1,2272,1582,34,3888,0.00133839240844411
"421","Thompson",4,4,2126,2116,39,4281,0.0014736774435569
"422","Tolland",2,2,3976,4031,70,8077,0.00278040007278886
"423","Torrington",8,8,8175,7362,184,15721,0.00541174564124224
"424","Trumbull",10,10,10789,8656,128,19573,0.00673774552738595
"425","Union",1,1,245,222,5,472,0.000162479736827577
"426","Vernon",6,6,5765,7695,110,13570,0.00467129243379284
"427","Voluntown",1,1,633,564,19,1216,0.000418591864369351
"428","Wallingford",9,9,9956,11644,220,21820,0.00751124546096977
"429","Warren",1,1,427,342,10,779,0.000268160413111616
"430","Washington",1,1,941,1242,17,2200,0.000757320807247181
"431","Waterbury",23,23,15052,14735,247,30034,0.0103388059658463
"432","Waterford",4,4,4405,5798,87,10290,0.00354219595753341
"433","Watertown",4,4,6954,4146,121,11221,0.00386268035369119
"434","West Hartford",20,20,11641,21612,216,33469,0.0115212591353436
"435","West Haven",12,12,7840,13047,176,21063,0.00725065825593063
