,cluster,region,number_households_census,cluster_status,comment,psu_prob,psu_sample,psu_hits,psu_probs
59,60,West,20,1,,0.006111535523300229,0,0,0.006111535523300229
60,61,West,120,1,,0.03666921313980138,0,0,0.03666921313980138
61,62,West,110,1,,0.03361344537815126,0,0,0.03361344537815126
62,63,West,215,1,,0.06569900687547746,0,0,0.06569900687547746
63,64,West,300,1,,0.09167303284950344,1,1,0.09167303284950344
64,65,West,65,1,,0.019862490450725745,0,0,0.019862490450725745
65,66,West,10,1,,0.0030557677616501145,0,0,0.0030557677616501145
66,67,West,205,1,,0.06264323911382735,0,0,0.06264323911382735
67,68,West,300,1,,0.09167303284950344,0,0,0.09167303284950344
68,69,West,125,1,,0.03819709702062643,0,0,0.03819709702062643
69,70,West,25,1,park,0.007639419404125287,0,0,0.007639419404125287
70,71,West,500,1,,0.15278838808250572,0,0,0.15278838808250572
71,72,West,210,1,,0.06417112299465241,0,0,0.06417112299465241
72,73,West,305,1,,0.0932009167303285,0,0,0.0932009167303285
73,74,West,330,1,,0.10084033613445378,0,0,0.10084033613445378
74,75,West,15,1,,0.004583651642475172,0,0,0.004583651642475172
75,76,West,155,1,,0.04736440030557677,0,0,0.04736440030557677
76,77,West,165,1,,0.05042016806722689,0,0,0.05042016806722689
77,78,West,120,1,,0.03666921313980138,0,0,0.03666921313980138
78,79,West,95,1,,0.029029793735676088,0,0,0.029029793735676088
79,80,West,110,1,,0.03361344537815126,0,0,0.03361344537815126
80,81,West,70,1,,0.0213903743315508,0,0,0.0213903743315508
81,82,West,65,1,,0.019862490450725745,0,0,0.019862490450725745
82,83,West,5,1,park,0.0015278838808250573,0,0,0.0015278838808250573
83,84,West,45,1,,0.013750954927425516,0,0,0.013750954927425516
84,85,West,90,1,,0.02750190985485103,0,0,0.02750190985485103
85,86,West,280,1,,0.0855614973262032,1,1,0.0855614973262032
86,87,West,210,1,,0.06417112299465241,0,0,0.06417112299465241
87,88,West,170,1,,0.05194805194805195,0,0,0.05194805194805195
88,89,West,360,1,,0.11000763941940413,0,0,0.11000763941940413
89,90,West,400,1,,0.12223071046600459,0,0,0.12223071046600459
90,91,West,110,1,,0.03361344537815126,0,0,0.03361344537815126
91,92,West,30,1,,0.009167303284950344,0,0,0.009167303284950344
92,93,West,90,1,,0.02750190985485103,0,0,0.02750190985485103
93,94,West,60,1,,0.01833460656990069,0,0,0.01833460656990069
94,95,West,55,1,,0.01680672268907563,0,0,0.01680672268907563
95,96,West,95,1,,0.029029793735676088,0,0,0.029029793735676088
96,97,West,40,1,,0.012223071046600458,0,0,0.012223071046600458
97,98,West,105,1,,0.03208556149732621,0,0,0.03208556149732621
98,99,West,320,1,,0.09778456837280367,0,0,0.09778456837280367
99,100,West,200,1,,0.061115355233002294,0,0,0.061115355233002294
