,weight,stratum,psu,qn8,domain
61,4.73,201,391710,1.0,domain2
62,4.73,201,391710,1.0,domain2
63,3.7712,201,391710,1.0,domain2
64,3.7712,201,391710,,domain2
65,3.7712,201,391710,1.0,domain2
66,3.7712,201,391710,1.0,domain2
67,2.7329,201,391710,1.0,domain2
68,2.7329,201,391710,1.0,domain2
69,2.7329,201,391710,1.0,domain2
70,3.7712,201,391710,1.0,domain2
71,2.7329,201,391710,1.0,domain2
72,2.0987,201,391710,,domain2
73,3.7712,201,391710,1.0,domain2
74,2.5584,201,391710,1.0,domain2
75,2.7329,201,391710,1.0,domain2
76,2.0444,201,391710,1.0,domain2
77,2.5584,201,391710,,domain2
78,2.5584,201,391710,1.0,domain2
79,2.0444,201,391710,1.0,domain2
80,2.5584,201,391710,1.0,domain2
81,2.7329,201,391710,1.0,domain2
82,2.7329,201,391710,,domain2
83,3.7712,201,391710,,domain2
84,3.7712,201,391710,1.0,domain2
85,2.7329,201,391710,1.0,domain2
86,2.8961,201,391710,1.0,domain2
87,2.7329,201,391710,1.0,domain2
88,3.7712,201,391710,,domain2
89,2.5584,201,391710,1.0,domain2
90,2.7802,201,391710,1.0,domain2
91,2.7802,201,391710,1.0,domain2
92,2.5584,201,391710,1.0,domain2
93,2.5584,201,391710,1.0,domain2
94,2.5584,201,391710,1.0,domain2
95,2.7802,201,391710,1.0,domain2
96,2.7802,201,391710,1.0,domain2
97,2.5584,201,391710,,domain2
98,2.5584,201,391710,1.0,domain2
99,2.2216,201,391710,1.0,domain2
100,2.5584,201,391710,,domain2
101,2.5584,201,391710,,domain2
102,2.7802,201,391710,1.0,domain2
103,2.6799,201,391710,1.0,domain2
104,2.6799,201,391710,,domain2
105,2.5584,201,391710,1.0,domain2
106,2.7802,201,391710,1.0,domain2
107,1.2946,201,391710,1.0,domain2
108,2.7329,201,391710,1.0,domain2
109,2.7329,201,391710,1.0,domain2
110,2.5584,201,391710,1.0,domain2
111,2.7802,201,391710,1.0,domain2
112,2.5584,201,391710,1.0,domain2
113,2.5584,201,391710,1.0,domain2
114,2.7802,201,391710,1.0,domain2
115,2.5584,201,391710,1.0,domain2
116,2.5584,201,391710,1.0,domain2
117,2.5584,201,391710,1.0,domain2
118,3.4977,103,10530,1.0,domain2
119,1.1941,103,10530,1.0,domain2
120,3.4977,103,10530,,domain2
121,1.6713,103,10530,1.0,domain2
122,1.1941,103,10530,1.0,domain2
123,1.6713,103,10530,,domain2
124,1.6713,103,10530,1.0,domain2
125,1.1941,103,10530,,domain2
126,0.8351,103,10530,1.0,domain2
127,1.6713,103,10530,,domain2
128,3.4977,103,10530,1.0,domain2
129,2.4991,103,10530,,domain2
130,1.1941,103,10530,2.0,domain2
131,1.6713,103,10530,1.0,domain2
132,2.4991,103,10530,1.0,domain2
133,0.6431,103,10530,1.0,domain2
134,1.6645,103,10530,1.0,domain2
135,1.2801,103,10530,1.0,domain2
136,1.6645,103,10530,1.0,domain2
137,1.1688,103,10530,1.0,domain2
138,1.2801,103,10530,1.0,domain2
139,1.2801,103,10530,,domain2
140,1.2801,103,10530,,domain2
141,0.8989,103,10530,1.0,domain2
142,1.2801,103,10530,1.0,domain2
143,1.6645,103,10530,1.0,domain2
144,1.2801,103,10530,1.0,domain2
145,0.8989,103,10530,2.0,domain2
146,0.8989,103,10530,,domain2
147,1.2801,103,10530,,domain2
148,1.1688,103,10530,1.0,domain2
149,1.2801,103,10530,,domain2
150,1.2801,103,10530,1.0,domain2
151,0.8222,103,10530,1.0,domain2
152,1.079,103,10530,1.0,domain2
153,0.8222,103,10530,1.0,domain2
154,0.8222,103,10530,1.0,domain2
155,1.045,103,10530,1.0,domain2
156,1.3715,103,10530,1.0,domain2
157,0.8222,103,10530,,domain2
158,0.8222,103,10530,1.0,domain2
159,1.3715,103,10530,,domain2
160,1.3715,103,10530,1.0,domain2
161,1.1688,103,10530,1.0,domain2
162,1.6645,103,10530,2.0,domain2
163,1.1688,103,10530,1.0,domain2
164,1.6645,103,10530,1.0,domain2
165,1.4724,103,10530,1.0,domain2
166,1.0639,103,10530,1.0,domain2
167,1.0639,103,10530,,domain2
168,1.0639,103,10530,,domain2
169,0.6431,103,10530,1.0,domain2
170,0.8901,103,10530,1.0,domain2
171,0.3297,103,10530,,domain2
172,0.8685,103,10530,,domain2
173,1.045,103,10530,1.0,domain2
174,0.8222,103,10530,1.0,domain2
175,1.3715,103,10530,1.0,domain2
176,1.045,103,10530,,domain2
177,0.8222,103,10530,,domain2
178,1.045,103,10530,,domain2
179,0.6142,103,10530,1.0,domain2
180,1.3715,103,10530,,domain2
181,0.8222,103,10530,1.0,domain2
182,1.045,103,10530,1.0,domain2
183,1.045,103,10530,,domain2
184,0.8901,103,10530,,domain2
185,0.8901,103,10530,,domain2
186,0.6431,103,10530,1.0,domain2
187,1.4724,103,10530,1.0,domain2
188,1.4724,103,10530,,domain2
189,0.8901,103,10530,,domain2
190,1.0639,103,10530,,domain2
191,0.8901,103,10530,,domain2
192,0.8901,103,10530,,domain2
193,0.8901,103,10530,,domain2
194,0.6431,103,10530,,domain2
195,0.6431,103,10530,,domain2
196,1.4724,103,10530,1.0,domain2
197,1.0639,103,10530,,domain2
198,0.8901,103,10530,,domain2
199,0.6431,103,10530,,domain2
200,0.631,103,10530,,domain2
201,0.9282,103,10530,1.0,domain2
202,0.8281,103,10530,1.0,domain2
203,0.9282,103,10530,1.0,domain2
204,0.9282,103,10530,,domain2
205,0.8281,103,10530,,domain2
206,0.631,103,10530,,domain2
207,0.8281,103,10530,1.0,domain2
208,0.8281,103,10530,,domain2
209,0.9282,103,10530,1.0,domain2
210,0.8281,103,10530,,domain2
211,0.8281,103,10530,,domain2
212,0.8281,103,10530,1.0,domain2
213,0.9282,103,10530,1.0,domain2
214,0.631,103,10530,,domain2
215,0.8281,103,10530,,domain2
216,0.7073,103,10530,1.0,domain2
217,0.6869,103,10530,,domain2
218,0.6869,103,10530,,domain2
219,0.6869,103,10530,,domain2
220,0.6869,103,10530,1.0,domain2
221,0.6869,103,10530,1.0,domain2
222,1.0208,103,10530,1.0,domain2
223,0.1867,103,10530,1.0,domain2
224,0.6815,103,10530,2.0,domain2
225,0.6815,103,10530,,domain2
226,0.7073,103,10530,1.0,domain2
227,0.3533,103,10530,1.0,domain2
228,0.9282,103,10530,1.0,domain2
229,0.8281,103,10530,,domain2
230,0.8281,103,10530,1.0,domain2
231,0.9282,103,10530,,domain2
232,0.7073,103,10530,,domain2
233,0.8281,103,10530,1.0,domain2
234,0.48700000000000004,103,10530,,domain2
235,0.6815,103,10530,,domain2
236,0.6815,103,10530,,domain2
237,1.0208,103,10530,1.0,domain2
238,1.0208,103,10530,1.0,domain2
239,0.6815,103,10530,1.0,domain2
240,0.6815,103,10530,1.0,domain2
241,0.6815,103,10530,,domain2
242,0.6815,103,10530,,domain2
243,0.6815,103,10530,1.0,domain2
244,1.0208,103,10530,,domain2
245,1.0208,103,10530,,domain2
246,0.5733,103,10530,,domain2
247,0.6869,103,10530,1.0,domain2
248,0.6869,103,10530,,domain2
249,0.4823,103,10530,1.0,domain2
250,0.5733,103,10530,1.0,domain2
251,0.5733,103,10530,,domain2
252,0.5733,103,10530,1.0,domain2
253,0.4823,103,10530,1.0,domain2
254,0.6815,103,10530,1.0,domain2
255,0.6815,103,10530,,domain2
256,0.6815,103,10530,,domain2
257,0.48700000000000004,103,10530,,domain2
258,0.6815,103,10530,1.0,domain2
259,0.5733,103,10530,2.0,domain2
260,0.7294,103,10530,2.0,domain2
261,0.4026,103,10530,1.0,domain2
262,0.6869,103,10530,,domain2
263,0.9282,103,10530,1.0,domain2
264,0.9282,103,10530,1.0,domain2
265,0.9282,103,10530,1.0,domain2
266,0.9114,103,10530,,domain2
267,0.6869,103,10530,,domain2
268,0.6869,103,10530,,domain2
269,0.9114,103,10530,,domain2
270,0.6636,103,10530,1.0,domain2
271,0.6636,103,10530,,domain2
272,0.9114,103,10530,,domain2
273,0.6636,103,10530,1.0,domain2
274,0.6636,103,10530,1.0,domain2
275,0.6636,103,10530,1.0,domain2
276,0.6585,103,10530,1.0,domain2
277,0.358,103,10530,2.0,domain2
278,0.6636,103,10530,1.0,domain2
279,0.6636,103,10530,1.0,domain2
280,0.4794,103,10530,,domain2
281,1.0208,103,10530,1.0,domain2
282,1.0208,103,10530,1.0,domain2
283,0.374,103,10530,1.0,domain2
284,0.6815,103,10530,,domain2
285,1.0208,103,10530,1.0,domain2
286,0.6815,103,10530,,domain2
287,0.6636,103,10530,1.0,domain2
288,0.4794,103,10530,,domain2
289,0.4794,103,10530,,domain2
290,0.6636,103,10530,1.0,domain2
291,0.6636,103,10530,1.0,domain2
292,0.4794,103,10530,,domain2
293,0.9114,103,10530,1.0,domain2
294,0.9114,103,10530,1.0,domain2
295,0.9114,103,10530,1.0,domain2
296,0.4794,103,10530,1.0,domain2
297,0.2458,103,10530,1.0,domain2
298,0.6636,103,10530,1.0,domain2
299,0.3503,103,10530,1.0,domain2
300,0.5733,103,10530,1.0,domain2
301,0.5733,103,10530,1.0,domain2
302,0.5733,103,10530,1.0,domain2
303,0.2147,103,10530,1.0,domain2
304,0.5733,103,10530,1.0,domain2
305,0.2572,103,10530,1.0,domain2
306,0.6869,103,10530,,domain2
307,0.6869,103,10530,,domain2
308,0.5733,103,10530,1.0,domain2
309,0.6869,103,10530,1.0,domain2
310,0.5733,103,10530,1.0,domain2
311,0.5733,103,10530,1.0,domain2
312,0.5733,103,10530,1.0,domain2
313,0.9114,103,10530,,domain2
314,0.9114,103,10530,1.0,domain2
315,0.9114,103,10530,,domain2
316,0.9114,103,10530,,domain2
317,0.6636,103,10530,1.0,domain2
318,0.6869,103,10530,1.0,domain2
319,0.6869,103,10530,1.0,domain2
320,0.5733,103,10530,,domain2
321,0.7294,103,10530,1.0,domain2
322,0.5601,103,10530,1.0,domain2
323,0.4794,103,10530,,domain2
324,0.9114,103,10530,,domain2
325,0.4794,103,10530,,domain2
326,0.9114,103,10530,,domain2
327,0.6636,103,10530,1.0,domain2
328,0.6585,103,10530,,domain2
329,0.9114,103,10530,1.0,domain2
330,0.6636,103,10530,,domain2
331,0.4026,103,10530,1.0,domain2
332,0.5733,103,10530,1.0,domain2
333,0.4823,103,10530,,domain2
334,0.6869,103,10530,1.0,domain2
335,0.5733,103,10530,,domain2
336,0.6869,103,10530,,domain2
337,0.4026,103,10530,1.0,domain2
338,0.5733,103,10530,1.0,domain2
339,0.6815,103,10530,1.0,domain2
340,1.0208,103,10530,1.0,domain2
341,1.0208,103,10530,1.0,domain2
342,1.0208,103,10530,1.0,domain2
343,0.48700000000000004,103,10530,1.0,domain2
344,0.48700000000000004,103,10530,,domain2
345,0.8994,103,10530,,domain2
346,0.8994,103,10530,,domain2
347,0.8994,103,10530,1.0,domain2
348,0.8994,103,10530,1.0,domain2
349,1.1804,103,10530,,domain2
350,1.4954,103,10530,,domain2
351,1.186,103,10530,1.0,domain2
352,1.186,103,10530,,domain2
353,0.7073,103,10530,1.0,domain2
354,1.3766,103,10530,1.0,domain2
355,1.1804,103,10530,1.0,domain2
356,1.9626,103,10530,,domain2
357,1.1804,103,10530,1.0,domain2
358,1.4954,103,10530,,domain2
359,1.4954,103,10530,,domain2
360,0.8994,103,10530,,domain2
361,0.8994,103,10530,1.0,domain2
362,1.1804,103,10530,1.0,domain2
363,0.8994,103,10530,1.0,domain2
364,1.1804,103,10530,1.0,domain2
365,1.6415,103,10530,1.0,domain2
366,0.9468,103,10530,1.0,domain2
367,1.0073,103,10530,1.0,domain2
368,1.3766,103,10530,,domain2
369,1.0073,103,10530,1.0,domain2
370,1.3766,103,10530,1.0,domain2
371,1.3766,103,10530,,domain2
372,0.9666,103,10530,,domain2
373,1.3766,103,10530,1.0,domain2
374,0.7073,103,10530,1.0,domain2
375,0.7073,103,10530,1.0,domain2
376,0.9666,103,10530,,domain2
377,0.9666,103,10530,,domain2
378,0.7073,103,10530,1.0,domain2
379,0.7073,103,10530,1.0,domain2
380,0.9666,103,10530,1.0,domain2
381,0.7073,103,10530,1.0,domain2
382,1.3766,103,10530,1.0,domain2
383,0.9666,103,10530,,domain2
384,0.7073,103,10530,1.0,domain2
385,1.3766,103,10530,1.0,domain2
386,0.7073,103,10530,1.0,domain2
387,1.0073,103,10530,1.0,domain2
388,1.0073,103,10530,,domain2
389,1.5887,103,10530,1.0,domain2
390,1.5887,103,10530,,domain2
391,1.6595,103,10530,,domain2
392,1.186,103,10530,,domain2
393,0.9468,103,10530,1.0,domain2
394,1.6415,103,10530,,domain2
395,1.3104,103,10530,1.0,domain2
396,1.3104,103,10530,1.0,domain2
397,0.9468,103,10530,2.0,domain2
398,0.9468,103,10530,1.0,domain2
399,0.9468,103,10530,1.0,domain2
400,1.3104,103,10530,1.0,domain2
401,1.186,103,10530,,domain2
402,1.6415,103,10530,1.0,domain2
403,1.186,103,10530,,domain2
404,0.9468,103,10530,1.0,domain2
405,1.186,103,10530,1.0,domain2
406,1.6595,103,10530,1.0,domain2
407,1.1857,103,10530,1.0,domain2
408,1.5887,103,10530,1.0,domain2
409,1.1857,103,10530,1.0,domain2
410,1.1857,103,10530,1.0,domain2
411,1.1857,103,10530,,domain2
412,1.1857,103,10530,,domain2
413,2.2235,103,10530,,domain2
414,1.5887,103,10530,1.0,domain2
415,1.6595,103,10530,1.0,domain2
416,1.1857,103,10530,1.0,domain2
417,1.5887,103,10530,,domain2
418,1.5887,103,10530,,domain2
419,1.0073,103,10530,1.0,domain2
420,0.7073,103,10530,1.0,domain2
421,1.0073,103,10530,1.0,domain2
422,1.4954,103,10530,1.0,domain2
423,1.4954,103,10530,1.0,domain2
424,0.8994,103,10530,,domain2
425,0.8994,103,10530,1.0,domain2
426,0.6719,103,10530,1.0,domain2
427,1.1857,103,10530,1.0,domain2
428,1.1857,103,10530,1.0,domain2
429,0.6735,212,40130,1.0,domain2
430,0.5031,212,40130,1.0,domain2
431,0.8838,212,40130,,domain2
432,0.7914,212,40130,,domain2
433,0.7914,212,40130,1.0,domain2
434,0.7819,212,40130,,domain2
435,1.7818,212,40130,2.0,domain2
436,0.9398,212,40130,,domain2
437,0.9398,212,40130,,domain2
438,0.6735,212,40130,,domain2
439,0.5031,212,40130,,domain2
440,0.5031,212,40130,1.0,domain2
441,0.8838,212,40130,,domain2
442,0.7607,212,40130,1.0,domain2
443,0.4493,212,40130,,domain2
444,1.0143,212,40130,,domain2
445,1.0143,212,40130,,domain2
446,0.7914,212,40130,,domain2
447,0.7914,212,40130,1.0,domain2
448,1.4099,212,40130,2.0,domain2
449,0.9858,212,40130,1.0,domain2
450,0.9398,212,40130,,domain2
451,0.9858,212,40130,,domain2
452,0.6735,212,40130,2.0,domain2
453,0.5291,212,40130,2.0,domain2
454,1.4668,212,40130,2.0,domain2
455,0.8822,212,40130,,domain2
456,0.7914,212,40130,,domain2
457,0.7607,212,40130,1.0,domain2
458,0.5031,212,40130,1.0,domain2
459,1.0143,212,40130,,domain2
460,0.4493,212,40130,,domain2
461,0.4493,212,40130,,domain2
462,0.9858,212,40130,1.0,domain2
463,0.9858,212,40130,1.0,domain2
464,0.9398,212,40130,1.0,domain2
465,0.7914,212,40130,,domain2
466,0.9858,212,40130,,domain2
467,0.9858,212,40130,,domain2
468,0.604,212,40130,,domain2
469,0.9398,212,40130,,domain2
470,0.9398,212,40130,1.0,domain2
471,0.5851,212,40130,2.0,domain2
472,0.4493,212,40130,1.0,domain2
473,0.5851,212,40130,2.0,domain2
474,1.8442,212,40130,,domain2
475,0.4493,212,40130,1.0,domain2
476,0.4493,212,40130,,domain2
477,1.0143,212,40130,2.0,domain2
478,1.0143,212,40130,1.0,domain2
479,1.5662,212,40130,,domain2
480,0.7607,212,40130,1.0,domain2
481,0.7607,212,40130,,domain2
482,1.0598,212,40130,2.0,domain2
483,0.7607,212,40130,1.0,domain2
484,1.5662,212,40130,1.0,domain2
485,0.9858,212,40130,2.0,domain2
486,0.4493,212,40130,2.0,domain2
487,0.4493,212,40130,1.0,domain2
488,0.4493,212,40130,,domain2
489,0.4493,212,40130,2.0,domain2
490,0.5851,212,40130,2.0,domain2
491,0.4493,212,40130,,domain2
492,0.4493,212,40130,,domain2
493,0.4493,212,40130,,domain2
494,0.7914,212,40130,1.0,domain2
495,0.4493,212,40130,1.0,domain2
496,0.4493,212,40130,,domain2
497,0.4493,212,40130,,domain2
498,0.7607,212,40130,1.0,domain2
499,0.7607,212,40130,,domain2
500,0.7607,212,40130,,domain2
501,0.7914,212,40130,,domain2
502,1.0143,212,40130,1.0,domain2
503,0.5031,212,40130,,domain2
504,0.5031,212,40130,1.0,domain2
505,1.0143,212,40130,1.0,domain2
506,0.5851,212,40130,,domain2
507,0.5031,212,40130,,domain2
508,1.0143,212,40130,,domain2
509,1.0143,212,40130,,domain2
510,0.4493,212,40130,1.0,domain2
511,1.5662,212,40130,1.0,domain2
512,0.4493,212,40130,,domain2
513,1.5662,212,40130,,domain2
514,1.5662,212,40130,1.0,domain2
515,0.4493,212,40130,1.0,domain2
516,0.8838,212,40130,1.0,domain2
517,0.5031,212,40130,1.0,domain2
518,0.4493,212,40130,,domain2
519,0.5031,212,40130,2.0,domain2
520,0.5382,212,40130,,domain2
521,0.5031,212,40130,,domain2
522,0.4493,212,40130,2.0,domain2
523,0.4493,212,40130,,domain2
524,0.7914,212,40130,,domain2
525,0.4493,212,40130,,domain2
526,0.5031,212,40130,1.0,domain2
527,0.7914,212,40130,2.0,domain2
528,0.6783,212,40130,1.0,domain2
529,0.5031,212,40130,1.0,domain2
530,0.5031,212,40130,1.0,domain2
531,1.5662,212,40130,1.0,domain2
532,0.4493,212,40130,,domain2
533,0.4493,212,40130,1.0,domain2
534,1.5662,212,40130,1.0,domain2
535,0.9858,212,40130,,domain2
536,0.9398,212,40130,,domain2
537,0.9858,212,40130,2.0,domain2
538,1.08,212,40130,,domain2
539,1.1327,212,40130,2.0,domain2
540,1.7818,212,40130,2.0,domain2
541,1.08,212,40130,,domain2
542,0.9858,212,40130,,domain2
543,1.538,212,40130,,domain2
544,1.538,212,40130,,domain2
545,0.9858,212,40130,,domain2
546,1.1327,212,40130,,domain2
547,0.9398,212,40130,2.0,domain2
548,0.9398,212,40130,2.0,domain2
549,0.9398,212,40130,2.0,domain2
550,0.9858,212,40130,1.0,domain2
551,1.538,212,40130,,domain2
552,1.1327,212,40130,2.0,domain2
553,0.9398,212,40130,,domain2
554,1.5662,212,40130,1.0,domain2
555,1.4099,212,40130,,domain2
556,0.5031,212,40130,,domain2
557,0.6735,212,40130,1.0,domain2
558,0.9858,212,40130,,domain2
559,1.1327,212,40130,,domain2
560,2.5297,212,60130,,domain2
561,4.8735,212,60130,,domain2
562,2.8033,212,60130,,domain2
563,2.7742,212,60130,,domain2
564,2.7742,212,60130,1.0,domain2
565,2.7742,212,60130,1.0,domain2
566,2.7742,212,60130,1.0,domain2
567,2.6207,212,60130,1.0,domain2
568,2.7742,212,60130,1.0,domain2
569,2.7742,212,60130,1.0,domain2
570,4.6039,212,60130,,domain2
571,2.8033,212,60130,1.0,domain2
572,2.1188,212,60130,,domain2
573,2.7742,212,60130,,domain2
574,2.8033,212,60130,,domain2
575,2.4933,212,60130,,domain2
576,2.6207,212,60130,1.0,domain2
577,2.6207,212,60130,,domain2
578,3.7135,212,60130,,domain2
579,2.6207,212,60130,1.0,domain2
580,2.7742,212,60130,1.0,domain2
581,2.7742,212,60130,2.0,domain2
582,2.6207,212,60130,,domain2
583,2.6207,212,60130,1.0,domain2
584,2.7742,212,60130,1.0,domain2
585,2.6207,212,60130,,domain2
586,2.7742,212,60130,,domain2
587,2.9675,212,60130,,domain2
588,2.7742,212,60130,1.0,domain2
589,2.9625,212,60130,1.0,domain2
590,4.8479,212,60130,,domain2
591,4.2755,212,60130,1.0,domain2
592,2.5297,212,60130,,domain2
593,2.6127,212,60130,1.0,domain2
594,4.2755,212,60130,1.0,domain2
595,2.6127,212,60130,,domain2
596,2.231,212,60130,2.0,domain2
597,3.0022,212,60130,,domain2
598,2.231,212,60130,2.0,domain2
599,2.231,212,60130,,domain2
600,2.5297,212,60130,1.0,domain2
601,2.5297,212,60130,1.0,domain2
602,2.5297,212,60130,1.0,domain2
603,2.231,212,60130,1.0,domain2
604,2.6127,212,60130,1.0,domain2
605,4.2755,212,60130,1.0,domain2
606,2.5297,212,60130,,domain2
607,2.231,212,60130,1.0,domain2
608,4.2755,212,60130,,domain2
609,2.9625,212,60130,,domain2
610,2.5297,212,60130,2.0,domain2
611,4.8479,212,60130,,domain2
612,4.2755,212,60130,,domain2
613,2.9625,212,60130,1.0,domain2
614,2.231,212,60130,1.0,domain2
615,4.2755,212,60130,,domain2
616,4.2755,212,60130,1.0,domain2
617,2.9675,212,60130,1.0,domain2
618,3.7689999999999997,212,60130,1.0,domain2
619,3.7689999999999997,212,60130,1.0,domain2
620,5.0115,212,60130,1.0,domain2
621,5.0115,212,60130,,domain2
622,2.8882,212,60130,,domain2
623,4.4381,212,60130,1.0,domain2
624,3.7689999999999997,212,60130,1.0,domain2
625,2.9625,212,60130,,domain2
626,4.4381,212,60130,1.0,domain2
627,3.4009,212,60130,,domain2
628,2.8882,212,60130,1.0,domain2
629,2.8882,212,60130,1.0,domain2
630,5.0115,212,60130,1.0,domain2
631,3.7689999999999997,212,60130,1.0,domain2
632,5.0115,212,60130,,domain2
633,3.5081,212,60130,,domain2
634,3.4009,212,60130,,domain2
635,3.4009,212,60130,,domain2
636,5.0115,212,60130,,domain2
637,2.8882,212,60130,,domain2
638,2.8882,212,60130,2.0,domain2
639,2.8882,212,60130,1.0,domain2
640,2.231,212,60130,,domain2
641,2.6127,212,60130,1.0,domain2
642,2.9625,212,60130,,domain2
643,3.7689999999999997,212,60130,,domain2
644,1.442,212,60130,1.0,domain2
645,3.4009,212,60130,1.0,domain2
646,3.7689999999999997,212,60130,,domain2
647,2.4465,212,60130,,domain2
648,2.1188,212,60130,,domain2
649,2.1498,212,60130,1.0,domain2
650,2.8789999999999996,212,60130,,domain2
651,2.1498,212,60130,,domain2
652,1.8269,212,60130,1.0,domain2
653,1.8269,212,60130,,domain2
654,1.8269,212,60130,,domain2
655,3.9846,212,60130,1.0,domain2
656,2.1498,212,60130,,domain2
657,2.1188,212,60130,1.0,domain2
658,2.4933,212,60130,1.0,domain2
659,3.386,212,60130,1.0,domain2
660,1.8269,212,60130,1.0,domain2
661,2.1498,212,60130,1.0,domain2
662,2.1498,212,60130,,domain2
663,2.1188,212,60130,,domain2
664,2.4933,212,60130,,domain2
665,3.386,212,60130,1.0,domain2
666,2.1188,212,60130,1.0,domain2
667,2.1498,212,60130,,domain2
668,2.1498,212,60130,,domain2
669,3.9846,212,60130,,domain2
670,2.8789999999999996,212,60130,,domain2
671,1.2541,212,60130,1.0,domain2
672,3.386,212,60130,1.0,domain2
673,1.8269,212,60130,1.0,domain2
674,0.6944,212,60130,1.0,domain2
675,0.9344,212,60130,1.0,domain2
676,0.8131,212,60130,2.0,domain2
677,1.2912,212,60130,1.0,domain2
678,1.2912,212,60130,,domain2
679,0.9364,212,60130,2.0,domain2
680,1.2542,212,60130,,domain2
681,1.1263,212,60130,,domain2
682,1.4094,212,60130,,domain2
683,1.4094,212,60130,,domain2
684,1.4094,212,60130,2.0,domain2
685,1.2542,212,60130,,domain2
686,1.1263,212,60130,,domain2
687,1.0529,212,60130,1.0,domain2
688,1.2542,212,60130,1.0,domain2
689,1.0022,212,60130,,domain2
690,1.2542,212,60130,,domain2
691,1.2912,212,60130,1.0,domain2
692,0.937,212,60130,,domain2
693,1.0022,212,60130,2.0,domain2
694,1.4094,212,60130,2.0,domain2
695,1.2542,212,60130,2.0,domain2
696,1.0759999999999998,212,60130,,domain2
697,1.4094,212,60130,1.0,domain2
698,1.4094,212,60130,2.0,domain2
699,1.2542,212,60130,2.0,domain2
700,1.4094,212,60130,2.0,domain2
701,0.9999,212,60130,,domain2
702,1.1545,212,60130,1.0,domain2
703,0.9959,212,60130,,domain2
704,0.9959,212,60130,1.0,domain2
705,1.1545,212,60130,,domain2
706,1.1545,212,60130,,domain2
707,0.8625,212,60130,1.0,domain2
708,0.9959,212,60130,1.0,domain2
709,0.9959,212,60130,1.0,domain2
710,0.9959,212,60130,,domain2
711,0.8625,212,60130,2.0,domain2
712,0.9999,212,60130,,domain2
713,1.1545,212,60130,,domain2
714,1.0022,212,60130,,domain2
715,1.4094,212,60130,,domain2
716,1.2542,212,60130,,domain2
717,0.6266,212,60130,1.0,domain2
718,1.646,212,60130,2.0,domain2
719,0.6944,212,60130,1.0,domain2
720,0.8625,212,60130,2.0,domain2
721,0.8625,212,60130,1.0,domain2
722,1.1545,212,60130,,domain2
723,0.9999,212,60130,,domain2
724,1.1545,212,60130,1.0,domain2
725,0.7437,212,60130,1.0,domain2
726,1.1545,212,60130,2.0,domain2
727,0.7437,212,60130,,domain2
728,1.1545,212,60130,,domain2
729,1.1545,212,60130,1.0,domain2
730,0.9959,212,60130,2.0,domain2
731,0.9959,212,60130,1.0,domain2
732,0.9959,212,60130,,domain2
733,1.1545,212,60130,,domain2
734,1.1545,212,60130,2.0,domain2
735,0.9959,212,60130,2.0,domain2
736,0.8625,212,60130,2.0,domain2
737,0.9344,212,60130,1.0,domain2
738,0.7996,212,60130,1.0,domain2
739,0.5738,212,60130,,domain2
740,0.9344,212,60130,2.0,domain2
741,1.0759999999999998,212,60130,2.0,domain2
